Thu Apr  6 00:44:02 2023    profile_worker_32537.prof

         203717 function calls (197819 primitive calls) in 9.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.001    0.000    0.042    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/cache_key.py:396(_generate_cache_key)
     7000    0.001    0.000    0.001    0.000 /usr/lib/python3.8/codecs.py:276(reset)
      500    0.001    0.000    0.001    0.000 /usr/lib/python3.8/re.py:289(_compile)
      504    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1214(_reset_memoizations)
      500    0.001    0.000    0.010    0.000 <string>:1(where)
      500    0.001    0.000    0.240    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:477(_execute_on_connection)
      500    0.001    0.000    0.004    0.000 /usr/lib/python3.8/re.py:203(sub)
      500    0.001    0.000    0.005    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py:1492(cursor)
      500    0.001    0.000    0.026    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/coercions.py:809(_literal_coercion)
     1100    0.001    0.000    0.001    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:845(add_qname)
      500    0.001    0.000    0.005    0.000 <string>:1(_connection_for_bind)
      200    0.001    0.000    0.002    0.000 /usr/lib/python3.8/contextlib.py:482(__exit__)
      500    0.001    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:1146(fetchall)
     1019    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:735(__hash__)
      501    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:165(get)
      500    0.001    0.000    0.064    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:441(operate)
      500    0.001    0.000    0.001    0.000 {method 'union' of 'sqlalchemy.cyextension.immutabledict.immutabledict' objects}
      400    0.001    0.000    0.003    0.000 /usr/lib/python3.8/socket.py:97(_intenum_converter)
      500    0.001    0.000    0.001    0.000 {built-in method _elementtree.SubElement}
      200    0.001    0.000    0.001    0.000 {method 'detach' of '_io.TextIOWrapper' objects}
      501    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1581(__get__)
      500    0.001    0.000    0.001    0.000 {method 'merge_with' of 'sqlalchemy.cyextension.immutabledict.immutabledict' objects}
      500    0.001    0.000    0.001    0.000 <string>:1(_generated_cache_key_traversal)
     1000    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/schema.py:409(_gen_cache_key)
      100    0.001    0.000    0.001    0.000 /usr/lib/python3.8/socket.py:643(__init__)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:1690(<dictcomp>)
     2044    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
